ID;Commune;NMI;Chronologie;ID sujet handicapé;sexe;Age min (an);Age max (an);type de dépôt;type de sépulture;contexte normatif;Contexte de la tombe;Commentaire sur contexte;C14 inf;C14 sup;Réf Labo C14;accessoire vestimentaire et parure ;armement, objet de prestige ;dépôt de récipient (céramique verre…) ;autre mobilier;description autre mobilier;Dépôt de fouille | adresse;ID dans dépôt;iconographie URL;Bibliographie;Atteintes invalidantes
#RL_024;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 46;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_025;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 48;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_026;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 54;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_027;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 55;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_028;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 63;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_029;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 64;Indéterminé;20;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_030;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 65;Indéterminé;1;4;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_031;Sées;1;"Haut Moyen Âge [500 ; 1000] ";SP 100;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_032;Alizay;11;"Haut Moyen Âge [500 ; 1000] ";SP 16404;Homme;15;19;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Canteleu, Dépôt SRA;;;;oui
#RL_033;Alizay;11;"Haut Moyen Âge [500 ; 1000] ";SP 16117;Homme;30;49;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Canteleu, Dépôt SRA;;;;oui
#RL_034;Alizay;11;"Haut Moyen Âge [500 ; 1000] ";SP 16095;Indéterminé;10;14;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Canteleu, Dépôt SRA;;;;oui
#RL_035;Flers;240;"Époque moderne [1500 ; 1800] ";SP 4019;Homme;60;99;Primaire;Individuel;Standard;Funéraire;Cercueil en plomb;;;;non;non;non;non;;laboratoire craham;;;;oui
#RL_036;Flers;240;"Époque moderne [1500 ; 1800] ";4018;Homme;40;59;Primaire;Individuel;Standard;Funéraire;Cercueil en plomb;;;;non;non;non;non;;laboratoire craham;;;;oui
#RL_037;Flers;240;"Époque moderne [1500 ; 1800] ";R4019;Homme;60;99;Secondaire;Individuel;Standard;Funéraire;remplissage caveau 4019;;;;non;non;non;non;;laboratoire craham;;;;oui
#RL_038;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1016;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_039;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1024;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_040;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1036;Indéterminé;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_041;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1049;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_042;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1050;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_043;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1077;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_044;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1085;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_045;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1087;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_046;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1104;Indéterminé;20;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_047;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1109;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_048;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1111;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_049;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1118;Indéterminé;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_050;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1128;Homme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_051;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1158;Femme;30;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_052;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1161;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_053;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1172;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_054;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1176;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_055;Flers;240;"Époque moderne [1500 ; 1800] ";SP 1192;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_056;Flers;240;"Époque moderne [1500 ; 1800] ";SP 2042;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_057;Flers;240;"Époque moderne [1500 ; 1800] ";SP 2045;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_058;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 7;Indéterminé;30;59;Primaire;Individuel;Standard;Funéraire;;668;778;Beta-488357;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_059;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 9B;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_060;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 23A;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_061;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 23B;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_062;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 26;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_063;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 31;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_064;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 33;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_065;Nonant-le-Pin;41;"Haut Moyen Âge [500 ; 1000] ";SP 41A;Indéterminé;15;19;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_066;Courcy;9;"Moyen Âge classique [1000 ; 1500] ";SP 2001;Homme;20;29;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_067;Courcy;9;"Moyen Âge classique [1000 ; 1500] ";SP 2002A;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_068;Courcy;9;"Moyen Âge classique [1000 ; 1500] ";SP 2007;Femme;40;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_069;Courcy;9;"Moyen Âge classique [1000 ; 1500] ";SP 2008;Homme;40;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_070;Alizay;4;"Néolithique [-6000 ; -2200] ";SP 45;Indéterminé;30;99;Primaire;Individuel;Standard;Funéraire;;4050BC;3974BC;ULA-7913;non;non;non;non;;Base Grand-Quevilly Inrap;;;;
#RL_071;Alizay;4;"Néolithique [-6000 ; -2200] ";SP 513;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;2566 BC;2349BC;ULA-7928;oui;non;non;non;;Base Grand-Quevilly Inrap;;;;
#RL_072;Alizay;4;"Âge du fer [-800 ; -50] ";SP 1399;Indéterminé;30;99;Primaire;Individuel;Standard;Funéraire;;384 BC;209BC;ULA-7911;non;non;non;non;;Base Grand-Quevilly Inrap;;;;
#RL_073;Creully;30;"Âge du fer [-800 ; -50] ";SP 1331;Indéterminé;10;14;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_074;Creully;30;"Âge du fer [-800 ; -50] ";SP 1375;Femme;20;30;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;oui;crâne de cervidé;Base Bourguebus Inrap;;;;
#RL_075;Creully;30;"Âge du fer [-800 ; -50] ";SP1564;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_076;Escoville;33;"Âge du fer [-800 ; -50] ";SP 219;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_077;Escoville;33;"Âge du fer [-800 ; -50] ";SP 233;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_078;Escoville;33;"Âge du fer [-800 ; -50] ";SP 365;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_079;Escoville;33;"Âge du fer [-800 ; -50] ";SP 395;Indéterminé;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_080;Escoville;33;"Âge du fer [-800 ; -50] ";SP 396;Indéterminé;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_081;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 105;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_082;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 109;Indéterminé;10;14;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_083;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 134;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_084;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 333;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;687;870;ULA-8507;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_085;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 336;Homme;20;30;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;
#RL_086;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 340;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_087;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 372;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_088;Escoville;33;"Haut Moyen Âge [500 ; 1000] ";SP 400;Indéterminé;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_089;Vire;35;"Époque moderne [1500 ; 1800] ";SP 1105;Homme;60;99;Primaire;Individuel;Standard;Funéraire;;1642;1670;ULA-8496;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_090;Vire;35;"Époque moderne [1500 ; 1800] ";SP 1137;Indéterminé;20;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_091;Grentheville;3;"Moyen Âge classique [1000 ; 1500] ";SP 51;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_092;Bretteville-le-Rabet;16;"Moyen Âge classique [1000 ; 1500] ";SP 2005;Homme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_093;Bretteville-le-Rabet;16;"moyen Âge classique [1000 ; 1500] ";SP 2007;Homme;50;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_094;Sartilly-Baie-Bocage;98;"moyen Âge classique [1000 ; 1500] ";SP 3012;Indéterminé;30;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_095;Sartilly-Baie-Bocage;98;"Moyen Âge classique [1000 ; 1500] ";SP 5004;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;oui;chapelet;Base Bourguebus Inrap;;;;
#RL_096;Bellou-en-Houlme;32;"Époque moderne [1500 ; 1800] ";SP 2008;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;oui;chapelet;Base Bourguebus Inrap;;;;
#RL_097;Bellou-en-Houlme;32;"Époque moderne [1500 ; 1800] ";SP 3008;Homme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;oui;chapelet;Base Bourguebus Inrap;;;;
#RL_098;Bellou-en-Houlme;32;"Époque moderne [1500 ; 1800] ";SP 5003;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_099;Bellou-en-Houlme;32;"Époque moderne [1500 ; 1800] ";SP 5005;Indéterminé;30;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;
#RL_100;Gisors;5;"Époque moderne [1500 ; 1800] ";SP 1077;Indéterminé;30;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Canteleu, Dépôt SRA;;;;
